year,series,segment,actual,prophet_yhat,prophet_lower_80,prophet_upper_80,prophet_lower_95,prophet_upper_95,sarima_yhat,sarima_lower_80,sarima_upper_80,sarima_lower_95,sarima_upper_95
1980,total_enrollment,total,12096895.0,11594637.712758759,10740458.970369127,12539717.789964467,10368431.798469722,12930137.66197383,,,,,
1981,total_enrollment,total,12371672.0,11801356.291256333,10891229.334563103,12702617.12809797,10382527.392639618,13124716.770438198,,,,,
1982,total_enrollment,total,12425780.0,12008074.870123703,11072939.182964444,12970639.75900501,10638730.574856991,13358407.880082997,,,,,
1983,total_enrollment,total,12464661.0,12214793.44882095,11302468.261869054,13114836.647009682,10790097.194599932,13453794.196005678,,,,,
1984,total_enrollment,total,12241940.0,12422078.379930716,11529037.949803943,13245602.73906963,11048746.946985992,13806185.072645197,,,,,
1985,total_enrollment,total,12247055.0,12628796.958769692,11732108.747775247,13474789.325093074,11287872.642127661,13966633.438961886,,,,,
1986,total_enrollment,total,12503511.0,12835515.537795978,11932520.11540886,13716373.37568085,11440765.206267372,14098150.81292077,,,,,
1987,total_enrollment,total,12766642.0,13042234.11680617,12128003.692279309,13957041.951651528,11692528.09001147,14435559.349998131,,,,,
1988,total_enrollment,total,13055337.0,13249519.048250102,12322640.874394303,14138701.92412326,11772111.140248315,14609603.638832834,,,,,
1989,total_enrollment,total,13538560.0,13456237.62730072,12600353.075913928,14363151.840751497,12217996.79721519,14847596.134145416,,,,,
1990,total_enrollment,total,13818637.0,13662956.206753576,12783848.17942517,14603781.554185504,12290689.950025069,15019195.56856442,,,,,
1991,total_enrollment,total,14358953.0,13869678.938222796,12918868.57464053,14755240.752368921,12480177.875863222,15226908.857301509,,,,,
1992,total_enrollment,total,14487359.0,14076968.033339877,13186174.088966526,14996072.8094393,12717681.9970896,15432623.2333464,,,,,
1993,total_enrollment,total,14304803.0,14283691.021625226,13345436.423295029,15179461.27552029,12948836.386274671,15601965.351145305,,,,,
1994,total_enrollment,total,14278790.0,14490415.099834574,13614796.566250922,15348839.051290348,13118944.26293578,15920249.905412992,,,,,
1995,total_enrollment,total,14261781.0,14697456.963270133,13784892.950418793,15571637.235168252,13409157.747664675,16032367.656193655,,,,,
1996,total_enrollment,total,14367520.0,14905442.130181951,14073911.23949232,15813021.063087892,13518798.246933777,16328800.297754409,,,,,
1997,total_enrollment,total,14502334.0,15113275.818090415,14194974.95426081,15869312.143410718,13731141.29259685,16496713.150185341,,,,,
1998,total_enrollment,total,14506967.0,15420818.183265371,14494426.740160663,16280679.25618693,14009610.3811988,16866851.661906745,,,,,
1999,total_enrollment,total,14849691.0,15728360.548440328,14804362.894870717,16563581.24823973,14355483.970735818,17083324.489476502,,,,,
2000,total_enrollment,total,15312289.0,16036801.693720246,15139244.253228946,16929760.212357864,14709757.17437997,17363613.093449935,,,,,
2001,total_enrollment,total,15927987.0,16344415.547371307,15473325.337197095,17251596.118112624,14986774.388556262,17680651.485050913,,,,,
2002,total_enrollment,total,16611711.0,16652029.400938481,15796239.713331131,17566138.175598465,15353606.790450614,17885676.309873004,,,,,
2003,total_enrollment,total,16911481.0,16959643.254388146,16084294.650880354,17822484.57117775,15660711.236845978,18336495.618545264,,,,,
2004,total_enrollment,total,17272044.0,17268099.886065066,16403970.313380342,18181605.225602355,15934372.52091724,18588523.737120256,,,,,
2005,total_enrollment,total,17487475.0,17575713.739886064,16701331.022816248,18474390.634540383,16288087.08157016,18992292.56885164,,,,,
2006,total_enrollment,total,17754230.0,17883327.593707066,16927783.448708024,18741547.181995798,16508275.894499848,19244653.625944648,,,,,
